Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,salary,Salary_USD,Remote_Friendly,Job_Growth_Projection
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,6573003.671,78250.0437,Yes,Growth
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,6983069.353,83131.77801,Yes,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,10860687.68,129293.901,No,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,6202234.777,73836.1283,No,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,7819252.773,93086.34253,No,Growth
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,7750627.982,92269.38073,No,Growth
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,7037932.487,83784.91056,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,8424193.573,100288.0187,No,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,8550733.116,101794.4419,No,Stable
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,6004623.772,71483.61634,Yes,Stable
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,7730279.275,92027.13423,No,Growth
Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,5741622.871,68352.65322,No,Decline
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,8884761.679,105770.9724,Yes,Decline
AI Researcher,Education,Medium,London,High,Low,Communication,7856498.681,93529.74621,Yes,Decline
Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,7698314.21,91646.59773,Yes,Decline
Software Engineer,Technology,Small,Paris,Low,High,Sales,8667172.666,103180.627,No,Stable
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,7097142.712,84489.79419,No,Stable
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,9095556.891,108280.4392,Yes,Growth
UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,5966612.614,71031.10254,Yes,Stable
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,9931952.552,118237.5304,No,Stable
Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,6634469.213,78981.77635,Yes,Growth
Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,4710419.166,56076.41865,No,Growth
UX Designer,Education,Large,Toronto,Medium,High,Project Management,7008061.354,83429.30183,Yes,Growth
Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,6817493.429,81160.63605,Yes,Stable
UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,6995395.703,83278.52028,No,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,7949168.666,94632.96031,Yes,Growth
AI Researcher,Finance,Small,New York,Low,High,JavaScript,9404375.166,111956.8472,Yes,Growth
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,7237934.065,86165.88172,Yes,Growth
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,6398082.483,76167.6486,No,Stable
AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,5667401.355,67469.06375,Yes,Stable
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,6773452.911,80636.34417,Yes,Decline
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,4388454.27,52243.50321,Yes,Stable
Sales Manager,Energy,Medium,London,High,High,Data Analysis,6341776.403,75497.33813,Yes,Stable
AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,9650010.545,114881.0779,Yes,Stable
UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,6176756.536,73532.81591,Yes,Growth
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,8616242.646,102574.3172,No,Stable
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,5499510.089,65470.3582,No,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,10535441.11,125421.918,Yes,Decline
Operations Manager,Technology,Small,Sydney,Low,Low,Sales,10647179.31,126752.1347,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,8552916.215,101820.4311,No,Growth
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,10905304.37,129825.052,Yes,Growth
AI Researcher,Technology,Large,Berlin,Medium,High,UX/UI Design,8157732.198,97115.8595,No,Growth
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,8851108.752,105370.3423,No,Stable
AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,9680048.913,115238.6775,No,Decline
AI Researcher,Education,Large,New York,Low,High,Sales,7861927.001,93594.36906,No,Growth
HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,4952005.865,58952.45077,No,Stable
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,8885458.437,105779.2671,No,Decline
AI Researcher,Education,Medium,Paris,Medium,High,Project Management,6767275.881,80562.80811,No,Stable
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,6892149.901,82049.40358,No,Decline
HR Manager,Manufacturing,Large,New York,Low,Medium,Python,8060463.46,95957.89833,Yes,Stable
Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,8511351.878,101325.6176,Yes,Decline
Sales Manager,Finance,Large,Paris,Low,Medium,Python,7812226.185,93002.69268,No,Decline
UX Designer,Finance,Medium,Dubai,Low,High,Project Management,8628025.621,102714.5907,No,Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,6372480.015,75862.85732,Yes,Growth
UX Designer,Entertainment,Small,San Francisco,High,High,Project Management,7488257.625,89145.92411,No,Decline
Operations Manager,Healthcare,Small,Berlin,Medium,Low,JavaScript,8986463.557,106981.709,No,Growth
Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,10538289.18,125455.8235,Yes,Stable
Operations Manager,Technology,Small,Berlin,Medium,Medium,Python,11132411.79,132528.7118,Yes,Growth
AI Researcher,Technology,Medium,Toronto,Medium,High,Sales,8287400.827,98659.53365,Yes,Growth
Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,8971216.509,106800.1965,No,Growth
Data Scientist,Education,Medium,Sydney,High,Low,Python,10889053,129631.5833,No,Growth
Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,6432995.458,76583.27927,Yes,Growth
Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,JavaScript,8617895.753,102593.9971,Yes,Decline
AI Researcher,Transportation,Large,Toronto,Low,Medium,Python,8850816.155,105366.859,No,Decline
Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,9992407.213,118957.2287,Yes,Decline
HR Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,5649602.481,67257.17239,No,Stable
AI Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,5981798.283,71211.88432,No,Growth
Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,7595922.115,90427.64422,Yes,Decline
HR Manager,Energy,Small,New York,High,Medium,Python,8194582.473,97554.55325,Yes,Stable
Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,9446411.442,112457.2791,No,Decline
HR Manager,Energy,Medium,Singapore,Low,Low,Sales,8429473.543,100350.8755,Yes,Decline
Sales Manager,Telecommunications,Medium,Toronto,High,High,UX/UI Design,7305625.773,86971.7354,Yes,Growth
HR Manager,Retail,Large,Toronto,Low,Low,UX/UI Design,8259655.227,98329.2289,Yes,Stable
Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,8065754.72,96020.88953,Yes,Growth
Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,10491627.6,124900.3286,No,Growth
UX Designer,Telecommunications,Small,Berlin,Low,Low,Python,7838307.025,93313.17887,No,Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,UX/UI Design,6916419.865,82338.33173,No,Growth
Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,8315343.171,98992.1806,No,Stable
Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,7893455.336,93969.70639,Yes,Growth
UX Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,4920731.162,58580.13289,Yes,Growth
UX Designer,Education,Medium,Tokyo,High,Low,Project Management,7533704.536,89686.95877,No,Growth
HR Manager,Technology,Large,Tokyo,Medium,Medium,Marketing,7390759.748,87985.23509,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,6646295.265,79122.56268,Yes,Stable
Data Scientist,Technology,Medium,Sydney,Medium,Low,UX/UI Design,9299779.923,110711.6658,No,Decline
Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,6240058.278,74286.40807,No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,8325439.281,99112.37239,Yes,Decline
Sales Manager,Finance,Large,Tokyo,Medium,High,Python,7311600.24,87042.86,No,Decline
Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,7740927.609,92153.90011,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,8251800.969,98235.72582,Yes,Stable
Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,5363275.035,63848.51232,No,Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,7881990.298,93833.21783,Yes,Decline
HR Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,11405431.78,135778.9498,No,Decline
Product Manager,Healthcare,Large,London,High,High,Python,4944637.579,58864.73308,Yes,Stable
Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,7463218.621,88847.84073,No,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,9447042.066,112464.7865,No,Growth
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,8066720.337,96032.38496,No,Stable
Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,8715784.48,103759.339,Yes,Growth
Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,3568881.101,42486.67978,Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,8565058.949,101964.9875,No,Decline
UX Designer,Technology,Small,New York,Low,Medium,Marketing,6280363.814,74766.23588,Yes,Growth
Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,8080593.838,96197.54569,No,Stable
Operations Manager,Technology,Small,Dubai,High,High,Python,7510549.652,89411.30538,No,Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,JavaScript,11387599.49,135566.6606,Yes,Stable
Data Scientist,Technology,Large,Berlin,Low,High,Data Analysis,8478448.144,100933.9065,No,Decline
Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,7370791.967,87747.52341,Yes,Stable
Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,5023716.164,59806.14481,No,Growth
Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,7763526.795,92422.93804,Yes,Growth
Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,8943024.516,106464.5776,No,Decline
Operations Manager,Technology,Medium,Paris,Low,Low,JavaScript,7424672.822,88388.96216,No,Stable
HR Manager,Technology,Medium,London,High,Medium,Data Analysis,6710497.315,79886.8728,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,6598054.405,78548.26672,No,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,8459037.612,100702.8287,No,Decline
AI Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,8835771.738,105187.7588,Yes,Stable
Operations Manager,Technology,Small,New York,Low,High,JavaScript,9846832.994,117224.2023,No,Growth
Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,5888400.179,70100.00214,Yes,Stable
Data Scientist,Transportation,Large,Berlin,High,High,Python,8443642.298,100519.5512,No,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,7355537.357,87565.92091,Yes,Stable
UX Designer,Technology,Medium,Sydney,Low,High,Project Management,7405046.536,88155.31591,No,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,8235067.435,98036.51708,No,Growth
Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,8244862.506,98153.12507,No,Stable
AI Researcher,Education,Large,Sydney,Medium,High,Data Analysis,8448330.418,100575.3621,Yes,Growth
Operations Manager,Finance,Small,Tokyo,Low,Low,UX/UI Design,5783448.397,68850.57616,Yes,Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,6300316.836,75003.77186,Yes,Decline
Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,10056258.7,119717.3655,Yes,Growth
Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,7189438.255,85588.55065,No,Growth
UX Designer,Manufacturing,Small,Dubai,High,Low,Communication,8074104.189,96120.28796,No,Decline
Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,9331839.404,111093.3262,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,8338584.362,99268.86145,Yes,Decline
Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,8478158.02,100930.4526,Yes,Stable
HR Manager,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,9062890.501,107891.5536,No,Decline
Data Scientist,Technology,Small,San Francisco,Low,Medium,UX/UI Design,4004004.882,47666.72478,Yes,Growth
Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,6736883.739,80200.9969,Yes,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,8347257.738,99372.11593,No,Growth
AI Researcher,Technology,Large,New York,High,Medium,JavaScript,9891242.436,117752.8861,No,Stable
Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,7671040.54,91321.91119,Yes,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,6140876.344,73105.67076,No,Stable
Software Engineer,Technology,Medium,Dubai,Medium,Low,Data Analysis,6185615.437,73638.27901,Yes,Growth
Software Engineer,Technology,Large,Sydney,Low,Medium,Sales,9044886.822,107677.2241,No,Growth
Product Manager,Energy,Large,London,Low,Low,Project Management,7194140.382,85644.52835,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,7547903.923,89855.99908,Yes,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,8593250.726,102300.6039,Yes,Decline
Data Scientist,Transportation,Small,New York,Low,Low,Python,2685440.213,31969.52635,Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,10920617.42,130007.3502,No,Stable
HR Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,6331795.957,75378.5233,No,Stable
Software Engineer,Healthcare,Small,Sydney,High,Low,Python,7966453.101,94838.72739,No,Decline
Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,4696109.017,55906.05973,No,Decline
UX Designer,Education,Small,New York,Medium,Medium,Communication,6850130.935,81549.17779,Yes,Decline
Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,9651075.918,114893.7609,Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,4340839.138,51676.65641,No,Decline
Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Python,9452016.146,112524.0017,No,Decline
Cybersecurity Analyst,Education,Small,New York,High,High,UX/UI Design,7100190.558,84526.07808,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,8378436.26,99743.2888,No,Decline
Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,8664641.015,103150.4883,No,Decline
Product Manager,Technology,Large,New York,Medium,Medium,UX/UI Design,8301588.119,98828.42999,Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,6106882.905,72700.98697,Yes,Stable
Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,6947557.434,82709.01707,Yes,Growth
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,5104585.622,60768.87645,No,Decline
Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,8386217.837,99835.92663,No,Growth
Product Manager,Finance,Large,Sydney,Medium,Low,JavaScript,10419452.66,124041.1031,No,Stable
Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,4494939.31,53511.18227,No,Growth
Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,6280434.878,74767.08188,Yes,Stable
Operations Manager,Healthcare,Small,Sydney,Medium,Low,UX/UI Design,7254617.537,86364.49448,Yes,Growth
Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,7851213.592,93466.82847,No,Growth
HR Manager,Healthcare,Small,Paris,Medium,Medium,Sales,9037016.186,107583.526,Yes,Decline
Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,7304304.033,86956.00039,Yes,Growth
Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,7029189.34,83680.82547,No,Decline
HR Manager,Finance,Small,San Francisco,Medium,Low,Project Management,9413259.586,112062.6141,No,Decline
UX Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,8672152.553,103239.9113,No,Decline
HR Manager,Retail,Medium,Toronto,Medium,Medium,UX/UI Design,8465482.999,100779.5595,No,Decline
HR Manager,Entertainment,Large,New York,Medium,Low,Marketing,7749026.395,92250.31423,No,Growth
Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,9211695.714,109663.0442,No,Stable
Cybersecurity Analyst,Technology,Medium,London,High,High,Communication,6457400.223,76873.81218,Yes,Stable
Marketing Specialist,Energy,Medium,Sydney,High,Medium,UX/UI Design,6228273.606,74146.11436,Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,8813449.658,104922.0197,No,Growth
Data Scientist,Telecommunications,Small,Sydney,Low,High,JavaScript,4829939.572,57499.28062,Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,7714861.576,91843.59019,No,Stable
Cybersecurity Analyst,Technology,Large,Toronto,Low,High,Cybersecurity,7028181.968,83668.83295,No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,5198332.053,61884.90539,No,Decline
AI Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,5995470.466,71374.64841,No,Stable
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,7376920.165,87820.47815,Yes,Decline
Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,9297058.271,110679.2651,No,Stable
Operations Manager,Technology,Small,San Francisco,High,Medium,Marketing,6463030.575,76940.84017,Yes,Stable
Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,9598480.752,114267.628,No,Stable
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,7666141.102,91263.58455,No,Decline
UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,9761446.3,116207.694,No,Growth
HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,6544454.097,77910.16782,Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,7477999.892,89023.80824,No,Stable
UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,8179052.454,97369.67207,No,Decline
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,7258422.423,86409.79075,No,Growth
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,9161080.567,109060.4829,Yes,Decline
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,3851292.942,45848.72549,Yes,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,11629641.31,138448.1108,Yes,Growth
Data Scientist,Entertainment,Small,Paris,High,Low,Python,9001061.34,107155.4921,No,Decline
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,7268466.527,86529.36342,Yes,Stable
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,6632099.588,78953.56653,No,Growth
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,6104413.373,72671.58777,Yes,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,8644633.997,102912.3095,Yes,Growth
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,9231569.204,109899.6334,No,Stable
HR Manager,Energy,Large,Paris,Low,Low,JavaScript,7286956.105,86749.47744,Yes,Decline
HR Manager,Retail,Medium,London,High,Low,Cybersecurity,9419743.894,112139.8083,No,Decline
HR Manager,Energy,Large,Toronto,High,Low,Sales,6035803.121,71854.79906,No,Decline
Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,5739197.772,68323.783,Yes,Stable
AI Researcher,Finance,Small,Dubai,Medium,Medium,JavaScript,10606413.22,126266.8241,No,Growth
Product Manager,Finance,Small,Toronto,Low,Low,Python,8553062.471,101822.1723,No,Decline
AI Researcher,Healthcare,Small,Tokyo,Low,High,Data Analysis,9906704.979,117936.964,Yes,Growth
Data Scientist,Telecommunications,Large,Toronto,Low,Medium,Machine Learning,6125381.29,72921.20583,Yes,Growth
AI Researcher,Finance,Medium,London,Medium,Low,Cybersecurity,6008477.342,71529.49216,No,Stable
Marketing Specialist,Finance,Small,San Francisco,Low,High,Cybersecurity,6957536.343,82827.81361,Yes,Decline
Data Scientist,Manufacturing,Small,Sydney,Medium,Medium,Project Management,6175581.146,73518.82317,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Low,High,JavaScript,8745013.553,104107.3042,No,Decline
Marketing Specialist,Healthcare,Small,London,High,Low,Communication,6298108.224,74977.47886,Yes,Decline
Product Manager,Telecommunications,Medium,Sydney,Low,Low,Sales,5591594.638,66566.60284,Yes,Stable
AI Researcher,Education,Medium,Tokyo,Low,Low,Communication,7798585.893,92840.30825,Yes,Decline
Marketing Specialist,Manufacturing,Medium,Dubai,High,Low,Project Management,5392823.225,64200.27648,Yes,Decline
HR Manager,Education,Medium,Singapore,Medium,Medium,Data Analysis,4536900.595,54010.72137,No,Growth
Operations Manager,Technology,Medium,London,Medium,Medium,Sales,7783872.153,92665.14468,No,Stable
HR Manager,Manufacturing,Large,Paris,Low,High,Machine Learning,4621310.328,55015.59914,Yes,Decline
Operations Manager,Entertainment,Small,London,High,Low,Communication,8862469.386,105505.5879,Yes,Growth
Software Engineer,Telecommunications,Large,London,Medium,High,Machine Learning,5215839.34,62093.32547,No,Stable
Software Engineer,Healthcare,Small,Sydney,Low,Medium,Communication,3795668.039,45186.52427,No,Stable
Software Engineer,Technology,Large,New York,High,Low,Machine Learning,7066421.628,84124.067,No,Growth
Product Manager,Telecommunications,Medium,Toronto,Medium,Low,Communication,7802918.766,92891.89007,No,Growth
HR Manager,Entertainment,Small,New York,Medium,Medium,Machine Learning,8385678.107,99829.50127,Yes,Growth
Operations Manager,Telecommunications,Small,Tokyo,High,Medium,Project Management,7848986.374,93440.31398,No,Growth
Marketing Specialist,Entertainment,Large,Paris,High,Medium,Marketing,5780354.797,68813.74758,No,Growth
Data Scientist,Entertainment,Large,Dubai,High,Medium,Sales,8757942.784,104261.2236,Yes,Decline
Marketing Specialist,Education,Small,Berlin,High,Medium,JavaScript,9173032.691,109202.7701,No,Decline
Data Scientist,Energy,Large,Tokyo,Low,Low,Data Analysis,5534319.624,65884.75743,No,Stable
